Item,Package,Title,Rows,Cols,n_binary,n_character,n_factor,n_logical,n_numeric,CSV,Doc
acme,boot,Monthly Excess Returns,60,3,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/acme.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/acme.html
aids,boot,Delay in AIDS Reporting in England and Wales,570,6,1,0,0,0,6,https://vincentarelbundock.github.io/Rdatasets/csv/boot/aids.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/aids.html
aircondit,boot,Failures of Air-conditioning Equipment,12,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/aircondit.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/aircondit.html
aircondit7,boot,Failures of Air-conditioning Equipment,24,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/aircondit7.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/aircondit7.html
amis,boot,Car Speeding and Warning Signs,8437,4,1,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/amis.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/amis.html
aml,boot,Remission Times for Acute Myelogenous Leukaemia,23,3,2,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/aml.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/aml.html
beaver,boot,Beaver Body Temperature Data,100,4,2,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/beaver.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/beaver.html
bigcity,boot,Population of U.S. Cities,49,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/bigcity.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/bigcity.html
brambles,boot,Spatial Location of Bramble Canes,823,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/brambles.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/brambles.html
breslow,boot,Smoking Deaths Among Doctors,10,5,1,0,1,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/breslow.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/breslow.html
calcium,boot,Calcium Uptake Data,27,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/calcium.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/calcium.html
cane,boot,Sugar-cane Disease Data,180,5,0,0,2,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/cane.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/cane.html
capability,boot,Simulated Manufacturing Process Data,75,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/capability.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/capability.html
catsM,boot,Weight Data for Domestic Cats,97,3,0,0,1,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/catsM.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/catsM.html
cav,boot,Position of Muscle Caveolae,138,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/cav.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/cav.html
cd4,boot,CD4 Counts for HIV-Positive Patients,20,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/cd4.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/cd4.html
channing,boot,Channing House Data,462,5,2,0,1,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/channing.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/channing.html
city,boot,Population of U.S. Cities,10,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/city.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/city.html
claridge,boot,Genetic Links to Left-handedness,37,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/claridge.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/claridge.html
cloth,boot,Number of Flaws in Cloth,32,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/cloth.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/cloth.html
co.transfer,boot,Carbon Monoxide Transfer,7,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/co.transfer.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/co.transfer.html
coal,boot,Dates of Coal Mining Disasters,191,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/coal.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/coal.html
darwin,boot,Darwin's Plant Height Differences,15,1,0,0,0,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/darwin.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/darwin.html
dogs,boot,Cardiac Data for Domestic Dogs,7,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/dogs.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/dogs.html
downs.bc,boot,Incidence of Down's Syndrome in British Columbia,30,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/downs.bc.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/downs.bc.html
ducks,boot,Behavioral and Plumage Characteristics of Hybrid Ducks,11,2,0,0,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/ducks.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/ducks.html
fir,boot,Counts of Balsam-fir Seedlings,50,3,0,0,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/boot/fir.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/fir.html
frets,boot,Head Dimensions in Brothers,25,4,0,0,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/boot/frets.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/frets.html
grav,boot,Acceleration Due to Gravity,26,2,1,0,1,0,1,https://vincentarelbundock.github.io/Rdatasets/csv/boot/grav.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/grav.html
